Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive
NLM_166,H02,scan_027,874,0.611,H02,100,50,nitrate
NLM_166,E04,scan_053,845,0.481,E04,100,50,nitrate
NLM_166,H05,scan_056,893,0.64,H05,100,50,nitrate
NLM_168,D01,scan_015,854.1818182,0.379,D01,100,50,nitrate
NLM_168,B02,scan_016,848.6666667,0.412,B02,100,50,nitrate
NLM_168,E02,scan_029,870,0.359,E02,100,50,nitrate
NLM_168,C03,scan_033,802.8333333,0.295,C03,100,50,nitrate
NLM_168,F03,scan_034,803,0.372,F03,100,50,nitrate
NLM_168,A04,scan_035,802,0.379,A04,100,50,nitrate
NLM_107,A10,scan_066,863,0.65,A10,100,55,nitrate
NLM_151,A05,scan_037,803.5,0.531,A05,100,55,nitrate
NLM_151,B09,scan_075,862,0.636,B09,100,55,nitrate
NLM_152,A05,scan_037,727.3333333,0.379,A05,100,55,nitrate
NLM_158,A05,scan_037,787,0.606,A05,100,55,nitrate
NLM_158,B09,scan_075,853,0.632,B09,100,55,nitrate
NLM_166,A02,scan_025,814.4444444,0.402,A02,100,55,nitrate
NLM_166,D03,scan_028,866.8,0.52,D03,100,55,nitrate
NLM_166,A05,scan_054,865.5,0.636,A05,100,55,nitrate
NLM_166,D06,scan_057,859,0.631,D06,100,55,nitrate
NLM_107,B10,scan_066,846.25,0.616,B10,100,60,nitrate
NLM_151,B05,scan_037,790,0.393,B05,100,60,nitrate
NLM_151,C09,scan_075,849,0.664,C09,100,60,nitrate
NLM_152,B05,scan_037,752,0.355,B05,100,60,nitrate
NLM_152,C09,scan_075,841.6666667,0.569,C09,100,60,nitrate
NLM_158,B05,scan_037,847.3636364,0.505,B05,100,60,nitrate
NLM_158,C09,scan_075,848.3333333,0.577,C09,100,60,nitrate
CNH_047,D08,scan_036,596.25,0.475,D08,0.01,13,KBr
CNH_048,D03,scan_036,603.5,0.463,D03,0.01,13,KBr
CNH_049,D09,scan_036,585,0.481,D09,0.01,13,KBr
CNH_064,B01,scan_031,588,0.471,B01,0.01,13,KBr
CNH_065,B07,scan_036,408.25,0.016,B07,0.01,13,KBr
CNH_065,D09,scan_037,580,0.424,D09,0.01,13,KBr
CNH_067,B07,scan_036,612.5,0.474,B07,0.01,13,KBr
CNH_067,D09,scan_037,608.125,0.447,D09,0.01,13,KBr
CMH_016,B01,scan_028,591.3333333,0.476,B01,0.01,13,KBr
CMH_016,F04,scan_062,564,0.492,F04,0.01,13,KBr
CMH_016,B08,scan_066,582,0.464,B08,0.01,13,KBr
CMH_018,B01,scan_028,564,0.462,B01,0.01,13,KBr
CMH_018,F04,scan_062,596.3333333,0.497,F04,0.01,13,KBr
CMH_018,B08,scan_066,594.75,0.521,B08,0.01,13,KBr
CMH_024,B01,scan_032,586,0.482,B01,0.01,13,KBr
CMH_024,B05,scan_070,579.5,0.452,B05,0.01,13,KBr
CMH_024,B09,scan_074,555.5,0.452,B09,0.01,13,KBr
CMH_028,B01,scan_032,621,0.477,B01,0.01,13,KBr
CMH_028,B05,scan_070,623.5,0.487,B05,0.01,13,KBr
CMH_028,B09,scan_074,605.3333333,0.522,B09,0.01,13,KBr
CMH_030,B01,scan_032,582,0.457,B01,0.01,13,KBr
CMH_030,B05,scan_070,593,0.412,B05,0.01,13,KBr
CMH_030,B09,scan_074,590.8,0.5,B09,0.01,13,KBr
CMH_031,B01,scan_032,585.9,0.473,B01,0.01,13,KBr
CMH_031,B05,scan_070,595,0.444,B05,0.01,13,KBr
CMH_031,B09,scan_074,614,0.505,B09,0.01,13,KBr
CMH_032,B01,scan_032,579,0.45,B01,0.01,13,KBr
CMH_032,B05,scan_070,563.8,0.479,B05,0.01,13,KBr
CMH_032,B09,scan_074,569.3333333,0.467,B09,0.01,13,KBr
CMH_037,B01,scan_024,582,0.471,B01,0.01,13,KBr
CMH_037,A07,scan_057,587,0.459,A07,0.01,13,KBr
CMH_037,H12,scan_090,562,0.497,H12,0.01,13,KBr
CMH_038,B01,scan_024,587,0.462,B01,0.01,13,KBr
CMH_038,A07,scan_081,583,0.503,A07,0.01,13,KBr
CMH_038,H12,scan_103,562,0.457,H12,0.01,13,KBr
NLM_107,C06,scan_062,635,0.49,C06,0.01,13,KBr
NLM_107,C10,scan_088,621.6666667,0.518,C10,0.01,13,KBr
CMH_046,B01,scan_024,591.5,0.541,B01,0.01,13,KBr
CMH_046,A07,scan_081,615.5,0.479,A07,0.01,13,KBr
CMH_046,H12,scan_114,622.1666667,0.508,H12,0.01,13,KBr
NLM_151,B01,scan_033,575,0.474,B01,0.01,13,KBr
NLM_151,C05,scan_071,577,0.429,C05,0.01,13,KBr
NLM_152,B01,scan_033,615,0.43,B01,0.01,13,KBr
NLM_152,C05,scan_071,634.5,0.433,C05,0.01,13,KBr
